SPED,Affiliation Binary,Affiliation,Academy or House,Paideia,Description_U9,Description_U11,Sex,Grade,Zip code,Ethnicity,Last School,Class Rank,Language Fluency,GPA,2.5,GPA Slice
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,11,94619,Hispanic or Latino,High School Registration,494,Redesignated (RFEP),0.00,Below,1
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94611,Filipino,Montera,3,English Only,4.00,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,11,94606,Hispanic or Latino,Oakland Technical HS,405,English Only,2.07,Below,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,12,94604,Black or African American,Oakland Technical HS,458,English Only,1.86,Below,2
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,11,94609,Black or African American,Oakland Technical HS,290,English Learner,2.84,Above,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94610,Black or African American,Montera,103,Redesignated (RFEP),3.83,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94602,Black or African American,Montera,447,Redesignated (RFEP),1.50,Below,2
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94618,Korean,High School Registration,103,English Only,3.83,Above,4
Inclusion,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,12,94602,White (not Hispanic),Oakland Technical HS,223,English Only,3.45,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94607,Chinese,Middle School Registration,103,Redesignated (RFEP),3.83,Above,4
Inclusion,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,11,94610,Vietnamese,Oakland Technical HS,221,English Only,3.32,Above,4
RSP (Resource Specialist Program),Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94607,Filipino,West Oakland MS,432,Redesignated (RFEP),1.50,Below,2
SDC (Special Day Class),Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,10,94618,Black or African American,Oakland Technical HS,200,English Only,3.47,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94618,White (not Hispanic),Hillcrest,285,English Only,2.83,Above,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,11,94607,Hispanic or Latino,High School Registration,483,English Learner,1.00,Below,1
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94577,Hispanic or Latino,Skyline,417,English Learner,2.00,Below,2
SDC (Special Day Class),Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94601,Hispanic or Latino,Coliseum College Prep,378,English Only,2.20,Below,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94609,Black or African American,High School Registration,360,English Only,2.17,Below,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,12,94619,Black or African American,Oakland Technical HS,243,English Only,3.33,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94621,Hispanic or Latino,Greenleaf Academy,258,Redesignated (RFEP),3.33,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,12,94606,Black or African American,Oakland Technical HS,61,English Only,4.16,Above,5
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94610,White (not Hispanic),High School Registration,103,English Only,4.00,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94609,Black or African American,Westlake,417,English Only,1.67,Below,2
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94605,Black or African American,Montera,348,English Only,2.50,Above,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,10,94612,Other Asian,Inactive Students School,200,Redesignated (RFEP),3.47,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94612,Other Asian,Westlake,477,Redesignated (RFEP),0.83,Below,1
SDC (Special Day Class),Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,12,94609,White (not Hispanic),Oakland Technical HS,441,English Only,2.18,Below,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,11,94621,Other Asian,Oakland Technical HS,362,Redesignated (RFEP),2.37,Below,3
SDC (Special Day Class),Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,12,94610,Black or African American,Oakland Technical HS,453,English Only,2.05,Below,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,11,94610,Black or African American,High School Registration,262,English Only,3.17,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94619,Black or African American,Middle School Registration,447,English Only,1.67,Below,2
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94608,Black or African American,Claremont,390,English Only,2.00,Below,2
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94610,Hispanic or Latino,Edna Brewer,153,English Only,3.83,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,11,94606,Black or African American,International High School,256,English Learner,3.24,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94609,White (not Hispanic),Claremont,3,English Only,4.00,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94618,Asian Indian,Middle School Registration,103,English Only,3.83,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,11,94601,Hispanic or Latino,High School Registration,194,Redesignated (RFEP),3.43,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94609,Black or African American,Inactive Students School,496,English Only,0.00,Below,1
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94608,Black or African American,Inactive Students School,406,English Only,2.00,Below,2
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94618,White (not Hispanic),Claremont,3,English Only,4.00,Above,4
SDC (Special Day Class),Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94607,Hispanic or Latino,Westlake,444,English Only,1.60,Below,2
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94621,Hispanic or Latino,Elmhurst College Prep,477,Redesignated (RFEP),1.00,Below,1
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,11,94611,White (not Hispanic),Oakland Technical HS,152,English Only,3.71,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,12,94610,Filipino,Oakland Technical HS,399,Redesignated (RFEP),2.51,Above,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94609,White (not Hispanic),Claremont,103,English Only,3.83,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,12,94608,Korean,Oakland Technical HS,380,English Only,2.54,Above,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94610,White (not Hispanic),Middle School Registration,206,English Only,3.50,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94609,Other or Not Specified,High School Registration,469,English Learner,1.00,Below,1
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94601,Hispanic or Latino,Edna Brewer,390,English Only,2.17,Below,3
Inclusion,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,12,94601,Hispanic or Latino,Oakland Technical HS,236,English Only,3.39,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,10,94610,White (not Hispanic),Inactive Students School,259,English Only,3.17,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,10,94609,Black or African American,Oakland Technical HS,513,English Only,0.61,Below,1
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,10,94621,Black or African American,Oakland Technical HS,323,English Only,2.76,Above,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,10,94621,Black or African American,Oakland Technical HS,237,English Only,3.22,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94606,American Indian or Alaskan Native,Edna Brewer,406,English Only,2.17,Below,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94611,White (not Hispanic),Edna Brewer,3,English Only,4.00,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94608,Black or African American,High School Registration,3,English Only,4.00,Above,4
RSP (Resource Specialist Program),Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94612,Black or African American,Claremont,447,English Only,1.50,Below,2
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94611,Black or African American,Claremont,447,English Only,1.33,Below,2
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94609,White (not Hispanic),Claremont,206,English Only,3.50,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,10,94609,Hispanic or Latino,High School Registration,154,English Only,3.67,Above,4
SDC (Special Day Class),Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,11,94608,Black or African American,Oakland Technical HS,443,English Only,1.81,Below,2
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,10,94618,White (not Hispanic),Oakland Technical HS,64,English Only,3.94,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94618,Hispanic or Latino,High School Registration,3,English Only,4.00,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,10,94607,Japanese,Inactive Students School,521,English Only,0.00,Below,1
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,11,94602,White (not Hispanic),Oakland Technical HS,258,English Only,3.13,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,12,94606,Other or Not Specified,Oakland Technical HS,436,Redesignated (RFEP),2.09,Below,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94606,Hispanic or Latino,Edna Brewer,417,Redesignated (RFEP),2.00,Below,2
