SPED,Affiliation Binary,Affiliation,Academy or House,Paideia,Description_U9,Description_U11,Sex,Grade,Zip code,Ethnicity,Last School,Class Rank,Language Fluency,GPA,2.5,GPA Slice
Not applicable,Affiliated,Oakland Tech - Computer Academy,Oakland Tech - Computer Academy,Not applicable,Oakland Tech - Computer Academy,Not applicable,M,12,94605,White (not Hispanic),Oakland Technical HS,201,English Only,3.63,Above,4
Not applicable,Affiliated,Oakland Tech - Computer Academy,Oakland Tech - Computer Academy,Not applicable,Oakland Tech - Computer Academy,Not applicable,F,10,94618,Japanese,Oakland Technical HS,273,English Only,3.00,Above,3
Not applicable,Affiliated,Oakland Tech - Computer Academy,Oakland Tech - Computer Academy,Not applicable,Oakland Tech - Computer Academy,Not applicable,M,11,94611,White (not Hispanic),Oakland Technical HS,465,English Only,1.14,Below,2
Not applicable,Affiliated,Oakland Tech - Computer Academy,Oakland Tech - Computer Academy,Not applicable,Oakland Tech - Computer Academy,Not applicable,F,11,94612,Other Asian,Oakland Technical HS,76,Redesignated (RFEP),4.00,Above,4
Not applicable,Affiliated,Oakland Tech - Computer Academy,Oakland Tech - Computer Academy,Not applicable,Oakland Tech - Computer Academy,Not applicable,M,12,94601,Vietnamese,Oakland Technical HS,41,Initially Fluent (IFEP),4.23,Above,5
Not applicable,Affiliated,Oakland Tech - Computer Academy,Oakland Tech - Computer Academy,Not applicable,Oakland Tech - Computer Academy,Not applicable,F,10,94601,Other Asian,Oakland Technical HS,13,Redesignated (RFEP),4.11,Above,5
Not applicable,Affiliated,Oakland Tech - Computer Academy,Oakland Tech - Computer Academy,Not applicable,Oakland Tech - Computer Academy,Not applicable,M,12,94602,Other or Not Specified,Oakland Technical HS,165,Redesignated (RFEP),3.74,Above,4
Not applicable,Affiliated,Oakland Tech - Computer Academy,Oakland Tech - Computer Academy,Not applicable,Oakland Tech - Computer Academy,Not applicable,M,12,94605,Vietnamese,Oakland Technical HS,405,Redesignated (RFEP),2.43,Below,3
Not applicable,Affiliated,Oakland Tech - Computer Academy,Oakland Tech - Computer Academy,Not applicable,Oakland Tech - Computer Academy,Not applicable,M,11,94609,Cambodian,Oakland Technical HS,335,Initially Fluent (IFEP),2.76,Above,3
Not applicable,Affiliated,Oakland Tech - Computer Academy,Oakland Tech - Computer Academy,Not applicable,Oakland Tech - Computer Academy,Not applicable,M,11,94609,White (not Hispanic),Oakland Technical HS,309,English Only,2.80,Above,3
Not applicable,Affiliated,Oakland Tech - Computer Academy,Oakland Tech - Computer Academy,Not applicable,Oakland Tech - Computer Academy,Not applicable,F,10,94590,Hispanic or Latino,Oakland Technical HS,244,English Only,3.17,Above,4
Not applicable,Affiliated,Oakland Tech - Computer Academy,Oakland Tech - Computer Academy,Not applicable,Oakland Tech - Computer Academy,Not applicable,F,10,94607,Chinese,Oakland Technical HS,323,English Learner,2.71,Above,3
Not applicable,Affiliated,Oakland Tech - Computer Academy,Oakland Tech - Computer Academy,Not applicable,Oakland Tech - Computer Academy,Not applicable,F,10,94601,Cambodian,Oakland Technical HS,348,Redesignated (RFEP),2.61,Above,3
Not applicable,Affiliated,Oakland Tech - Computer Academy,Oakland Tech - Computer Academy,Not applicable,Oakland Tech - Computer Academy,Not applicable,F,11,94619,American Indian or Alaskan Native,Oakland Technical HS,280,English Only,3.23,Above,4
Not applicable,Affiliated,Oakland Tech - Computer Academy,Oakland Tech - Computer Academy,Not applicable,Oakland Tech - Computer Academy,Not applicable,M,10,94612,Black or African American,Oakland Technical HS,282,English Only,3.00,Above,3
Not applicable,Affiliated,Oakland Tech - Computer Academy,Oakland Tech - Computer Academy,Not applicable,Oakland Tech - Computer Academy,Not applicable,M,12,94602,White (not Hispanic),Oakland Technical HS,249,English Only,3.35,Above,4
Not applicable,Affiliated,Oakland Tech - Computer Academy,Oakland Tech - Computer Academy,Not applicable,Oakland Tech - Computer Academy,Not applicable,F,11,94611,Black or African American,Oakland Technical HS,142,English Only,3.73,Above,4
Not applicable,Affiliated,Oakland Tech - Computer Academy,Oakland Tech - Computer Academy,Not applicable,Oakland Tech - Computer Academy,Not applicable,F,10,94610,Black or African American,Oakland Technical HS,452,English Only,1.67,Below,2
Inclusion,Affiliated,Oakland Tech - Computer Academy,Oakland Tech - Computer Academy,Not applicable,Oakland Tech - Computer Academy,Not applicable,M,11,94618,White (not Hispanic),Oakland Technical HS,186,English Only,3.51,Above,4
Not applicable,Affiliated,Oakland Tech - Computer Academy,Oakland Tech - Computer Academy,Not applicable,Oakland Tech - Computer Academy,Not applicable,M,10,94606,Chinese,Oakland Technical HS,355,English Learner,2.44,Below,3
Not applicable,Affiliated,Oakland Tech - Computer Academy,Oakland Tech - Computer Academy,Not applicable,Oakland Tech - Computer Academy,Not applicable,M,10,94609,Hispanic or Latino,Oakland Technical HS,248,English Only,3.21,Above,4
Not applicable,Affiliated,Oakland Tech - Computer Academy,Oakland Tech - Computer Academy,Not applicable,Oakland Tech - Computer Academy,Not applicable,F,10,94605,Black or African American,Oakland Technical HS,170,English Only,3.78,Above,4
Not applicable,Affiliated,Oakland Tech - Computer Academy,Oakland Tech - Computer Academy,Not applicable,Oakland Tech - Computer Academy,Not applicable,M,11,94609,Black or African American,Oakland Technical HS,335,English Only,2.57,Above,3
Not applicable,Affiliated,Oakland Tech - Computer Academy,Oakland Tech - Computer Academy,Not applicable,Oakland Tech - Computer Academy,Not applicable,M,10,94605,Hispanic or Latino,Oakland Technical HS,400,Redesignated (RFEP),2.28,Below,3
Not applicable,Affiliated,Oakland Tech - Computer Academy,Oakland Tech - Computer Academy,Not applicable,Oakland Tech - Computer Academy,Not applicable,F,10,94611,White (not Hispanic),High School Registration,98,English Only,3.86,Above,4
Not applicable,Affiliated,Oakland Tech - Computer Academy,Oakland Tech - Computer Academy,Not applicable,Oakland Tech - Computer Academy,Not applicable,M,12,94609,Black or African American,Oakland Technical HS,354,English Only,2.74,Above,3
Not applicable,Affiliated,Oakland Tech - Computer Academy,Oakland Tech - Computer Academy,Not applicable,Oakland Tech - Computer Academy,Not applicable,F,12,94618,Black or African American,Oakland Technical HS,216,English Only,3.51,Above,4
Not applicable,Affiliated,Oakland Tech - Computer Academy,Oakland Tech - Computer Academy,Not applicable,Oakland Tech - Computer Academy,Not applicable,F,12,94608,Other or Not Specified,Oakland Technical HS,167,English Only,3.74,Above,4
Not applicable,Affiliated,Oakland Tech - Computer Academy,Oakland Tech - Computer Academy,Not applicable,Oakland Tech - Computer Academy,Not applicable,F,10,94612,Hispanic or Latino,Oakland Technical HS,454,English Only,1.83,Below,2
Not applicable,Affiliated,Oakland Tech - Computer Academy,Oakland Tech - Computer Academy,Not applicable,Oakland Tech - Computer Academy,Not applicable,M,11,94618,White (not Hispanic),Oakland Technical HS,348,English Only,2.50,Above,3
Not applicable,Affiliated,Oakland Tech - Computer Academy,Oakland Tech - Computer Academy,Not applicable,Oakland Tech - Computer Academy,Not applicable,M,10,94608,White (not Hispanic),Oakland Technical HS,323,English Only,2.72,Above,3
Not applicable,Affiliated,Oakland Tech - Computer Academy,Oakland Tech - Computer Academy,Not applicable,Oakland Tech - Computer Academy,Not applicable,F,12,94611,Other or Not Specified,Oakland Technical HS,269,Initially Fluent (IFEP),3.20,Above,4
Not applicable,Affiliated,Oakland Tech - Computer Academy,Oakland Tech - Computer Academy,Not applicable,Oakland Tech - Computer Academy,Not applicable,M,10,94610,Black or African American,Oakland Technical HS,439,English Only,1.83,Below,2
Not applicable,Affiliated,Oakland Tech - Computer Academy,Oakland Tech - Computer Academy,Not applicable,Oakland Tech - Computer Academy,Not applicable,M,11,94618,White (not Hispanic),Oakland Technical HS,161,English Only,3.63,Above,4
Not applicable,Affiliated,Oakland Tech - Computer Academy,Oakland Tech - Computer Academy,Not applicable,Oakland Tech - Computer Academy,Not applicable,M,11,94601,Hispanic or Latino,Oakland Technical HS,208,English Only,3.43,Above,4
RSP (Resource Specialist Program),Affiliated,Oakland Tech - Computer Academy,Oakland Tech - Computer Academy,Not applicable,Oakland Tech - Computer Academy,Not applicable,M,11,94619,Hispanic or Latino,Oakland Technical HS,229,English Learner,3.25,Above,4
Not applicable,Affiliated,Oakland Tech - Computer Academy,Oakland Tech - Computer Academy,Not applicable,Oakland Tech - Computer Academy,Not applicable,M,12,94611,White (not Hispanic),Oakland Technical HS,305,English Only,2.94,Above,3
Not applicable,Affiliated,Oakland Tech - Computer Academy,Oakland Tech - Computer Academy,Not applicable,Oakland Tech - Computer Academy,Not applicable,M,11,94601,Black or African American,Oakland Technical HS,300,Redesignated (RFEP),2.93,Above,3
Not applicable,Affiliated,Oakland Tech - Computer Academy,Oakland Tech - Computer Academy,Not applicable,Oakland Tech - Computer Academy,Not applicable,F,12,94618,White (not Hispanic),Oakland Technical HS,64,Redesignated (RFEP),4.16,Above,5
Not applicable,Affiliated,Oakland Tech - Computer Academy,Oakland Tech - Computer Academy,Not applicable,Oakland Tech - Computer Academy,Not applicable,M,10,94611,White (not Hispanic),Oakland Technical HS,461,English Only,1.67,Below,2
Not applicable,Affiliated,Oakland Tech - Computer Academy,Oakland Tech - Computer Academy,Not applicable,Oakland Tech - Computer Academy,Not applicable,F,12,94605,Black or African American,Oakland Technical HS,306,English Only,3.04,Above,4
Not applicable,Affiliated,Oakland Tech - Computer Academy,Oakland Tech - Computer Academy,Not applicable,Oakland Tech - Computer Academy,Not applicable,M,12,94612,Other Asian,Oakland Technical HS,237,Redesignated (RFEP),3.33,Above,4
Not applicable,Affiliated,Oakland Tech - Computer Academy,Oakland Tech - Computer Academy,Not applicable,Oakland Tech - Computer Academy,Not applicable,F,12,94618,White (not Hispanic),Oakland Technical HS,35,English Only,4.27,Above,5
SDC (Special Day Class),Affiliated,Oakland Tech - Computer Academy,Oakland Tech - Computer Academy,Not applicable,Oakland Tech - Computer Academy,Not applicable,M,10,94608,Black or African American,Oakland Technical HS,149,English Only,3.71,Above,4
RSP (Resource Specialist Program),Affiliated,Oakland Tech - Computer Academy,Oakland Tech - Computer Academy,Not applicable,Oakland Tech - Computer Academy,Not applicable,M,11,94611,White (not Hispanic),Oakland Technical HS,362,English Only,2.45,Below,3
Not applicable,Affiliated,Oakland Tech - Computer Academy,Oakland Tech - Computer Academy,Not applicable,Oakland Tech - Computer Academy,Not applicable,M,11,94603,Chinese,Oakland Technical HS,170,Redesignated (RFEP),3.65,Above,4
Not applicable,Affiliated,Oakland Tech - Computer Academy,Oakland Tech - Computer Academy,Not applicable,Oakland Tech - Computer Academy,Not applicable,M,11,94606,Chinese,Oakland Technical HS,46,Redesignated (RFEP),4.07,Above,5
Not applicable,Affiliated,Oakland Tech - Computer Academy,Oakland Tech - Computer Academy,Not applicable,Oakland Tech - Computer Academy,Not applicable,F,12,94612,Vietnamese,Oakland Technical HS,309,Redesignated (RFEP),3.00,Above,3
Not applicable,Affiliated,Oakland Tech - Computer Academy,Oakland Tech - Computer Academy,Not applicable,Oakland Tech - Computer Academy,Not applicable,F,12,94610,White (not Hispanic),Oakland Technical HS,161,English Only,3.74,Above,4
Not applicable,Affiliated,Oakland Tech - Computer Academy,Oakland Tech - Computer Academy,Not applicable,Oakland Tech - Computer Academy,Not applicable,M,10,94618,White (not Hispanic),Oakland Technical HS,463,English Only,1.67,Below,2
Not applicable,Affiliated,Oakland Tech - Computer Academy,Oakland Tech - Computer Academy,Not applicable,Oakland Tech - Computer Academy,Not applicable,M,12,94662,Black or African American,Oakland Technical HS,282,English Only,3.15,Above,4
Not applicable,Affiliated,Oakland Tech - Computer Academy,Oakland Tech - Computer Academy,Not applicable,Oakland Tech - Computer Academy,Not applicable,M,11,94606,Vietnamese,Oakland Technical HS,168,Initially Fluent (IFEP),3.63,Above,4
Not applicable,Affiliated,Oakland Tech - Computer Academy,Oakland Tech - Computer Academy,Not applicable,Oakland Tech - Computer Academy,Not applicable,M,10,94608,White (not Hispanic),Oakland Technical HS,262,English Only,3.11,Above,4
Not applicable,Affiliated,Oakland Tech - Computer Academy,Oakland Tech - Computer Academy,Not applicable,Oakland Tech - Computer Academy,Not applicable,F,12,94606,Chinese,Oakland Technical HS,98,Redesignated (RFEP),4.05,Above,5
Not applicable,Affiliated,Oakland Tech - Computer Academy,Oakland Tech - Computer Academy,Not applicable,Oakland Tech - Computer Academy,Not applicable,F,12,94612,Vietnamese,Oakland Technical HS,7,Redesignated (RFEP),4.38,Above,5
Not applicable,Affiliated,Oakland Tech - Computer Academy,Oakland Tech - Computer Academy,Not applicable,Oakland Tech - Computer Academy,Not applicable,M,11,94602,Vietnamese,Oakland Technical HS,131,Redesignated (RFEP),3.75,Above,4
Not applicable,Affiliated,Oakland Tech - Computer Academy,Oakland Tech - Computer Academy,Not applicable,Oakland Tech - Computer Academy,Not applicable,M,10,94608,Hispanic or Latino,Oakland Technical HS,136,Redesignated (RFEP),3.72,Above,4
RSP (Resource Specialist Program),Affiliated,Oakland Tech - Computer Academy,Oakland Tech - Computer Academy,Not applicable,Oakland Tech - Computer Academy,Not applicable,F,10,94612,Chinese,High School Registration,418,English Learner,1.83,Below,2
Not applicable,Affiliated,Oakland Tech - Computer Academy,Oakland Tech - Computer Academy,Not applicable,Oakland Tech - Computer Academy,Not applicable,M,11,94607,Chinese,Oakland Technical HS,155,Redesignated (RFEP),3.63,Above,4
Not applicable,Affiliated,Oakland Tech - Computer Academy,Oakland Tech - Computer Academy,Not applicable,Oakland Tech - Computer Academy,Not applicable,M,10,94612,Black or African American,Oakland Technical HS,463,Redesignated (RFEP),1.56,Below,2
Not applicable,Affiliated,Oakland Tech - Computer Academy,Oakland Tech - Computer Academy,Not applicable,Oakland Tech - Computer Academy,Not applicable,M,11,94607,Other Asian,Oakland Technical HS,9,Redesignated (RFEP),4.19,Above,5
Not applicable,Affiliated,Oakland Tech - Computer Academy,Oakland Tech - Computer Academy,Not applicable,Oakland Tech - Computer Academy,Not applicable,M,10,94603,Black or African American,Oakland Technical HS,345,English Learner,2.50,Above,3
Not applicable,Affiliated,Oakland Tech - Computer Academy,Oakland Tech - Computer Academy,Not applicable,Oakland Tech - Computer Academy,Not applicable,M,10,94602,Chinese,Oakland Technical HS,279,Redesignated (RFEP),2.94,Above,3
Not applicable,Affiliated,Oakland Tech - Computer Academy,Oakland Tech - Computer Academy,Not applicable,Oakland Tech - Computer Academy,Not applicable,M,11,94607,Chinese,Oakland Technical HS,232,Redesignated (RFEP),3.29,Above,4
Not applicable,Affiliated,Oakland Tech - Computer Academy,Oakland Tech - Computer Academy,Not applicable,Oakland Tech - Computer Academy,Not applicable,M,11,94565,Other Asian,Oakland Technical HS,91,Redesignated (RFEP),3.93,Above,4
Not applicable,Affiliated,Oakland Tech - Computer Academy,Oakland Tech - Computer Academy,Not applicable,Oakland Tech - Computer Academy,Not applicable,F,12,94602,Chinese,Oakland Technical HS,222,Redesignated (RFEP),3.51,Above,4
Not applicable,Affiliated,Oakland Tech - Computer Academy,Oakland Tech - Computer Academy,Not applicable,Oakland Tech - Computer Academy,Not applicable,M,12,94610,Chinese,Oakland Technical HS,164,Redesignated (RFEP),3.83,Above,4
Not applicable,Affiliated,Oakland Tech - Computer Academy,Oakland Tech - Computer Academy,Not applicable,Oakland Tech - Computer Academy,Not applicable,F,11,94606,Chinese,Oakland Technical HS,24,Redesignated (RFEP),4.14,Above,5
Not applicable,Affiliated,Oakland Tech - Computer Academy,Oakland Tech - Computer Academy,Not applicable,Oakland Tech - Computer Academy,Not applicable,M,11,94607,Chinese,Oakland Technical HS,146,Redesignated (RFEP),3.70,Above,4
Not applicable,Affiliated,Oakland Tech - Computer Academy,Oakland Tech - Computer Academy,Not applicable,Oakland Tech - Computer Academy,Not applicable,F,11,94607,Chinese,Oakland Technical HS,171,Redesignated (RFEP),3.60,Above,4
Other Spec Ed Services,Affiliated,Oakland Tech - Computer Academy,Oakland Tech - Computer Academy,Not applicable,Oakland Tech - Computer Academy,Not applicable,M,11,94601,Chinese,Oakland Technical HS,83,Redesignated (RFEP),3.95,Above,4
Not applicable,Affiliated,Oakland Tech - Computer Academy AND Paideia,Oakland Tech - Computer Academy,Paideia,Oakland Tech - Computer Academy,Not applicable,F,10,94610,Black or African American,Oakland Technical HS,309,English Only,2.94,Above,3
Not applicable,Affiliated,Oakland Tech - Computer Academy AND Paideia,Oakland Tech - Computer Academy,Paideia,Oakland Tech - Computer Academy,Not applicable,F,12,94610,White (not Hispanic),Oakland Technical HS,74,English Only,4.14,Above,5
Not applicable,Affiliated,Oakland Tech - Computer Academy AND Paideia,Oakland Tech - Computer Academy,Paideia,Oakland Tech - Computer Academy,Not applicable,M,11,94608,American Indian or Alaskan Native,Oakland Technical HS,138,English Only,3.73,Above,4
Not applicable,Affiliated,Oakland Tech - Computer Academy AND Paideia,Oakland Tech - Computer Academy,Paideia,Oakland Tech - Computer Academy,Not applicable,M,11,94611,White (not Hispanic),Oakland Technical HS,22,English Only,4.16,Above,5
Not applicable,Affiliated,Oakland Tech - Computer Academy AND Paideia,Oakland Tech - Computer Academy,Paideia,Oakland Tech - Computer Academy,Not applicable,F,10,94618,White (not Hispanic),Oakland Technical HS,136,English Only,3.78,Above,4
Not applicable,Affiliated,Oakland Tech - Computer Academy AND Paideia,Oakland Tech - Computer Academy,Paideia,Oakland Tech - Computer Academy,Not applicable,M,11,94610,Chinese,Oakland Technical HS,40,Initially Fluent (IFEP),4.09,Above,5
Not applicable,Affiliated,Oakland Tech - Computer Academy AND Paideia,Oakland Tech - Computer Academy,Paideia,Oakland Tech - Computer Academy,Not applicable,M,11,94605,White (not Hispanic),Oakland Technical HS,53,English Only,4.03,Above,5
Not applicable,Affiliated,Oakland Tech - Computer Academy AND Paideia,Oakland Tech - Computer Academy,Paideia,Oakland Tech - Computer Academy,Not applicable,M,10,94607,Chinese,Oakland Technical HS,9,Redesignated (RFEP),4.11,Above,5
Not applicable,Affiliated,Oakland Tech - Computer Academy AND Paideia,Oakland Tech - Computer Academy,Paideia,Oakland Tech - Computer Academy,Not applicable,F,10,94608,White (not Hispanic),Oakland Technical HS,442,Redesignated (RFEP),1.94,Below,2
Not applicable,Affiliated,Oakland Tech - Computer Academy AND Paideia,Oakland Tech - Computer Academy,Paideia,Oakland Tech - Computer Academy,Not applicable,M,10,94610,White (not Hispanic),Oakland Technical HS,149,English Only,3.67,Above,4
Not applicable,Affiliated,Oakland Tech - Computer Academy AND Paideia,Oakland Tech - Computer Academy,Paideia,Oakland Tech - Computer Academy,Not applicable,F,11,94619,Korean,Oakland Technical HS,115,Redesignated (RFEP),3.85,Above,4
Not applicable,Affiliated,Oakland Tech - Computer Academy AND Paideia,Oakland Tech - Computer Academy,Paideia,Oakland Tech - Computer Academy,Not applicable,M,12,94619,Black or African American,Oakland Technical HS,181,English Only,3.69,Above,4
Not applicable,Affiliated,Oakland Tech - Computer Academy AND Paideia,Oakland Tech - Computer Academy,Paideia,Oakland Tech - Computer Academy,Not applicable,M,11,94618,White (not Hispanic),Oakland Technical HS,166,English Only,3.66,Above,4
Not applicable,Affiliated,Oakland Tech - Computer Academy AND Paideia,Oakland Tech - Computer Academy,Paideia,Oakland Tech - Computer Academy,Not applicable,M,12,94610,Hispanic or Latino,Oakland Technical HS,337,Redesignated (RFEP),2.88,Above,3
Not applicable,Affiliated,Oakland Tech - Computer Academy AND Paideia,Oakland Tech - Computer Academy,Paideia,Oakland Tech - Computer Academy,Not applicable,F,12,94610,Chinese,Oakland Technical HS,28,Initially Fluent (IFEP),4.30,Above,5
Not applicable,Affiliated,Oakland Tech - Computer Academy AND Paideia,Oakland Tech - Computer Academy,Paideia,Oakland Tech - Computer Academy,Not applicable,F,12,94611,White (not Hispanic),Oakland Technical HS,25,English Only,4.29,Above,5
Not applicable,Affiliated,Oakland Tech - Computer Academy AND Paideia,Oakland Tech - Computer Academy,Paideia,Oakland Tech - Computer Academy,Not applicable,M,12,94601,Hispanic or Latino,Oakland Technical HS,63,Initially Fluent (IFEP),4.19,Above,5
Not applicable,Affiliated,Oakland Tech - Computer Academy AND Paideia,Oakland Tech - Computer Academy,Paideia,Oakland Tech - Computer Academy,Not applicable,F,10,94611,White (not Hispanic),Oakland Technical HS,17,English Only,4.10,Above,5
Not applicable,Affiliated,Oakland Tech - Computer Academy AND Paideia,Oakland Tech - Computer Academy,Paideia,Oakland Tech - Computer Academy,Not applicable,F,10,94619,Chinese,Oakland Technical HS,27,English Only,4.06,Above,5
Not applicable,Affiliated,Oakland Tech - Computer Academy AND Paideia,Oakland Tech - Computer Academy,Paideia,Oakland Tech - Computer Academy,Not applicable,M,10,94618,White (not Hispanic),Oakland Technical HS,213,English Only,3.39,Above,4
Not applicable,Affiliated,Oakland Tech - Computer Academy AND Paideia,Oakland Tech - Computer Academy,Paideia,Oakland Tech - Computer Academy,Not applicable,M,10,94603,Hispanic or Latino,Oakland Technical HS,195,Redesignated (RFEP),3.44,Above,4
Not applicable,Affiliated,Oakland Tech - Computer Academy AND Paideia,Oakland Tech - Computer Academy,Paideia,Oakland Tech - Computer Academy,Not applicable,M,11,94602,Chinese,Oakland Technical HS,224,Redesignated (RFEP),3.31,Above,4
Not applicable,Affiliated,Oakland Tech - Computer Academy AND Paideia,Oakland Tech - Computer Academy,Paideia,Oakland Tech - Computer Academy,Not applicable,F,12,94601,Black or African American,Oakland Technical HS,154,English Only,3.78,Above,4
Not applicable,Affiliated,Oakland Tech - Computer Academy AND Paideia,Oakland Tech - Computer Academy,Paideia,Oakland Tech - Computer Academy,Not applicable,M,11,94610,White (not Hispanic),Oakland Technical HS,161,English Only,3.63,Above,4
Not applicable,Affiliated,Oakland Tech - Computer Academy AND Paideia,Oakland Tech - Computer Academy,Paideia,Oakland Tech - Computer Academy,Not applicable,F,10,94619,Chinese,Oakland Technical HS,64,Initially Fluent (IFEP),3.94,Above,4
Not applicable,Affiliated,Oakland Tech - Computer Academy AND Paideia,Oakland Tech - Computer Academy,Paideia,Oakland Tech - Computer Academy,Not applicable,F,11,94607,White (not Hispanic),Oakland Technical HS,242,English Only,3.33,Above,4
Not applicable,Affiliated,Oakland Tech - Computer Academy AND Paideia,Oakland Tech - Computer Academy,Paideia,Oakland Tech - Computer Academy,Not applicable,F,10,94602,Black or African American,Oakland Technical HS,96,English Only,3.86,Above,4
Not applicable,Affiliated,Oakland Tech - Computer Academy AND Paideia,Oakland Tech - Computer Academy,Paideia,Oakland Tech - Computer Academy,Not applicable,M,12,94618,White (not Hispanic),Oakland Technical HS,187,English Only,3.68,Above,4
Not applicable,Affiliated,Oakland Tech - Computer Academy AND Paideia,Oakland Tech - Computer Academy,Paideia,Oakland Tech - Computer Academy,Not applicable,M,10,94602,White (not Hispanic),Oakland Technical HS,61,English Only,4.06,Above,5
Not applicable,Affiliated,Oakland Tech - Computer Academy AND Paideia,Oakland Tech - Computer Academy,Paideia,Oakland Tech - Computer Academy,Not applicable,F,10,94609,Hispanic or Latino,Oakland Technical HS,262,English Only,3.06,Above,4
Not applicable,Affiliated,Oakland Tech - Computer Academy AND Paideia,Oakland Tech - Computer Academy,Paideia,Oakland Tech - Computer Academy,Not applicable,M,10,94602,White (not Hispanic),Oakland Technical HS,107,English Only,3.83,Above,4
Not applicable,Affiliated,Oakland Tech - Computer Academy AND Paideia,Oakland Tech - Computer Academy,Paideia,Oakland Tech - Computer Academy,Not applicable,M,10,94618,White (not Hispanic),Oakland Technical HS,82,English Only,3.89,Above,4
Not applicable,Affiliated,Oakland Tech - Computer Academy AND Paideia,Oakland Tech - Computer Academy,Paideia,Oakland Tech - Computer Academy,Not applicable,F,10,94607,Chinese,Oakland Technical HS,13,Redesignated (RFEP),4.11,Above,5
Not applicable,Affiliated,Oakland Tech - Computer Academy AND Paideia,Oakland Tech - Computer Academy,Paideia,Oakland Tech - Computer Academy,Not applicable,M,11,94606,Chinese,Oakland Technical HS,1,Redesignated (RFEP),4.38,Above,5
Not applicable,Affiliated,Oakland Tech - Computer Academy AND Paideia,Oakland Tech - Computer Academy,Paideia,Oakland Tech - Computer Academy,Not applicable,M,12,94611,Other Asian,Oakland Technical HS,6,English Only,4.38,Above,5
Not applicable,Affiliated,Oakland Tech - Computer Academy AND Paideia,Oakland Tech - Computer Academy,Paideia,Oakland Tech - Computer Academy,Not applicable,F,12,94602,White (not Hispanic),Oakland Technical HS,8,English Only,4.37,Above,5
Not applicable,Affiliated,Oakland Tech - Computer Academy AND Paideia,Oakland Tech - Computer Academy,Paideia,Oakland Tech - Computer Academy,Not applicable,M,10,94612,Chinese,Oakland Technical HS,61,Redesignated (RFEP),3.94,Above,4
Not applicable,Affiliated,Oakland Tech - Computer Academy AND Paideia,Oakland Tech - Computer Academy,Paideia,Oakland Tech - Computer Academy,Not applicable,M,11,94603,Chinese,Oakland Technical HS,3,Redesignated (RFEP),4.30,Above,5
Not applicable,Affiliated,Oakland Tech - Computer Academy AND Paideia,Oakland Tech - Computer Academy,Paideia,Oakland Tech - Computer Academy,Not applicable,M,10,94612,Chinese,Oakland Technical HS,226,Redesignated (RFEP),3.56,Above,4
Not applicable,Affiliated,Oakland Tech - Computer Academy AND Paideia,Oakland Tech - Computer Academy,Paideia,Oakland Tech - Computer Academy,Not applicable,F,10,94606,Chinese,Oakland Technical HS,16,Redesignated (RFEP),4.10,Above,5
Not applicable,Affiliated,Oakland Tech - Computer Academy AND Paideia,Oakland Tech - Computer Academy,Paideia,Oakland Tech - Computer Academy,Not applicable,F,12,94610,White (not Hispanic),Oakland Technical HS,20,English Only,4.30,Above,5
Not applicable,Affiliated,Oakland Tech - Computer Academy AND Paideia,Oakland Tech - Computer Academy,Paideia,Oakland Tech - Computer Academy,Not applicable,M,11,94609,White (not Hispanic),Oakland Technical HS,92,English Only,3.93,Above,4
Not applicable,Affiliated,Oakland Tech - Computer Academy AND Paideia,Oakland Tech - Computer Academy,Paideia,Oakland Tech - Computer Academy,Not applicable,F,10,94618,White (not Hispanic),Oakland Technical HS,145,English Only,3.75,Above,4
Not applicable,Affiliated,Oakland Tech - Computer Academy AND Paideia,Oakland Tech - Computer Academy,Paideia,Oakland Tech - Computer Academy,Not applicable,F,10,94611,White (not Hispanic),Oakland Technical HS,9,English Only,4.11,Above,5
Not applicable,Affiliated,Oakland Tech - Computer Academy AND Paideia,Oakland Tech - Computer Academy,Paideia,Oakland Tech - Computer Academy,Not applicable,M,12,94606,Other Asian,Oakland Technical HS,1,Initially Fluent (IFEP),4.51,Above,5
Not applicable,Affiliated,Oakland Tech - Computer Academy AND Paideia,Oakland Tech - Computer Academy,Paideia,Oakland Tech - Computer Academy,Not applicable,F,11,94618,Black or African American,Oakland Technical HS,43,English Only,4.07,Above,5
Not applicable,Affiliated,Oakland Tech - Computer Academy AND Paideia,Oakland Tech - Computer Academy,Paideia,Oakland Tech - Computer Academy,Not applicable,F,12,94611,White (not Hispanic),Oakland Technical HS,14,English Only,4.33,Above,5
Not applicable,Affiliated,Oakland Tech - Computer Academy AND Paideia,Oakland Tech - Computer Academy,Paideia,Oakland Tech - Computer Academy,Not applicable,F,11,94618,Other or Not Specified,Oakland Technical HS,191,English Only,3.47,Above,4
Not applicable,Affiliated,Oakland Tech - Computer Academy AND Paideia,Oakland Tech - Computer Academy,Paideia,Oakland Tech - Computer Academy,Not applicable,F,11,94610,Other Pacific Islander,Oakland Technical HS,4,English Only,4.29,Above,5
Not applicable,Affiliated,Oakland Tech - Computer Academy AND Paideia,Oakland Tech - Computer Academy,Paideia,Oakland Tech - Computer Academy,Not applicable,M,11,94611,White (not Hispanic),Oakland Technical HS,131,English Only,3.76,Above,4
Not applicable,Affiliated,Oakland Tech - Computer Academy AND Paideia,Oakland Tech - Computer Academy,Paideia,Oakland Tech - Computer Academy,Not applicable,F,10,94618,Japanese,Oakland Technical HS,248,English Only,3.11,Above,4
